category,model_name,experiment_name,dataset,task,split,metric_primary_name,metric_primary_value,accuracy,f1,roc_auc,ap,srcc,plcc,mae,loss,tflite_exported,mobile_ready,output_dir,evidence_file,notes
Aesthetic,A-LAMP Multi-Patch Teacher,alamp_multipatch_teacher_full_ava_20260524,AVA,classification,test,Accuracy,0.7633,0.7633,0.8482,0.7877,0.8955,,,,,true,true,outputs/alamp_multipatch_teacher_full_ava_20260524,outputs/alamp_multipatch_teacher_improvement_plan_20260524/report.md,Best practical A-LAMP candidate. High positive bias.
Aesthetic,RGNet AADB (Mean Agg),rgnet_paper_v1_agg_mean_full,AADB,regression,test,SRCC,0.6819,,,,,0.6819,0.6878,0.1198,,true,true,outputs/rgnet_paper_consolidated_20260511,outputs/rgnet_paper_consolidated_20260511/rgnet_paper_oriented_summary.md,Best practical RGNet AADB regression result.
Aesthetic,RGNet AVA (LSE r=4),rgnet_paper_ava_lse_r4_full-run,AVA,classification,test,Accuracy,0.7697,0.7697,0.8468,0.7979,0.9019,,,,,true,true,outputs/rgnet_paper_consolidated_20260511,outputs/rgnet_paper_consolidated_20260511/rgnet_paper_oriented_summary.md,Best practical RGNet AVA classification result.
Aesthetic,NIMA (Fixed Preproc),nima_fixed_preproc_eval_20260525,AVA,regression/rank,test,SRCC,0.5894,0.6025,,0.8018,,0.5894,0.5929,0.6581,,true,true,outputs/nima_fixed_preproc_eval_20260525,outputs/nima_fixed_preproc_eval_20260525/report.md,EfficientNetV2 bug fixed. Massive improvement in ranking.
Aesthetic,ICAA Color,icaa_performance_reverification_20260525,ICAA17K,regression/color,test,SRCC,0.8791,,,,,0.8791,0.8958,0.0214,,true,true,outputs/icaa_performance_reverification_20260525,outputs/icaa_performance_reverification_20260525/report.md,Color aesthetic assessment. Highly reliable.
Aesthetic,Stage 5 Student,student_conservative_aesthetic_full_aadb_20260423,AADB,regression/distill,val,Pairwise Accuracy,0.90568,0.90568,,,,0.8586,0.8738,0.0284,,true,true,outputs/student_conservative_aesthetic_full_aadb_20260423,outputs/student_conservative_aesthetic_full_aadb_20260423/handoff.md,Mobile proxy for A-LAMP/RGNet ensemble.
Technical,TOPIQ-lite (mixed112),topiq_lite_mixed112_frozen_fp16,SPAQ,regression/IQA,test,SRCC,0.899,,,,,0.899,0.893,7.91,,true,true,outputs/eval_final_topiq_candidates_vs_existing_technical_20260520,outputs/eval_final_topiq_candidates_vs_existing_technical_20260520/report.md,Strong candidate for general technical quality.
Technical,TOPIQ-lite (mixed112),topiq_lite_mixed112_frozen_fp16,KonIQ,regression/IQA,test,SRCC,0.863,,,,,0.863,0.884,5.8,,true,true,outputs/eval_final_topiq_candidates_vs_existing_technical_20260520,outputs/eval_final_topiq_candidates_vs_existing_technical_20260520/report.md,
Technical,FLIVE Image Mobile,flive_image_mobile,FLIVE,regression/IQA,test,SRCC,0.63,,,,,0.63,0.757,3.12,,true,true,outputs/eval_final_topiq_candidates_vs_existing_technical_20260520,outputs/eval_final_topiq_candidates_vs_existing_technical_20260520/report.md,Existing mobile technical quality model.
Technical,KonIQ Mobile,koniq_mobile,KonIQ,regression/IQA,test,SRCC,0.866,,,,,0.866,0.891,5.59,,true,true,outputs/eval_final_topiq_candidates_vs_existing_technical_20260520,outputs/eval_final_topiq_candidates_vs_existing_technical_20260520/report.md,Existing mobile technical quality model.
Aesthetic,A-LAMP GraphLite Fusion,alamp_paper_ava_v2_graph_lite_20260511,AVA (4096),classification,val,ROC-AUC,0.7067,,,0.7067,,,,,,false,false,outputs/alamp_paper_ava_v2_graph_lite_20260511,outputs/alamp_paper_fusion_4096_final_report.md,Failed fusion attempt. Overfit.
Aesthetic,A-LAMP GraphGCN Fusion,alamp_paper_ava_v2_graph_gcn_20260511,AVA (4096),classification,val,ROC-AUC,0.7062,,,0.7062,,,,,,false,false,outputs/alamp_paper_fusion_4096_final_report.md,outputs/alamp_paper_fusion_4096_final_report.md,Failed fusion attempt. Overfit.
Aesthetic,RGNet DenseASPP WD3e-5,rgnet_v1_cascaded_denseaspp_paper_recipe_wd3e5_aadb_20ep_20260526,AADB,regression,test,SRCC,0.6518,,,,,0.6518,0.6592,0.1233,,false,false,outputs/rgnet_v1_cascaded_denseaspp_paper_recipe_wd3e5_aadb_20ep_20260526,outputs/rgnet_v1_cascaded_denseaspp_paper_recipe_wd3e5_aadb_20ep_20260526/report.md,Paper approximation ablation. Underperformed baseline.
